,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Acapulco de Juárez,16.8634,-99.8901,80.6,74,20,9.22,MX,1612755461
358,Ous,60.9058,61.5186,-11.47,90,100,5.82,RU,1612755504
359,Saint Anthony,45.0205,-93.218,-2.2,55,90,6.91,US,1612755457
360,Istanbul,41.0351,28.9833,59.0,55,0,4.61,TR,1612755507
361,Coquimbo,-29.9533,-71.3436,60.8,77,0,2.3,CL,1612755226
362,Msowero,-6.5333,37.2,71.65,92,100,1.79,TZ,1612755511
363,Oktyabr'skiy,54.4815,53.471,-7.64,88,100,13.98,RU,1612755513
364,Cayenne,4.9333,-52.3333,78.8,89,90,3.44,GF,1612755399
365,Port-Cartier,50.0334,-66.8654,17.6,79,100,2.3,CA,1612755517
366,Verkhniye Kigi,55.4083,58.6044,-5.51,89,100,18.34,RU,1612755520
367,Mackay,-21.15,149.2,93.2,55,39,5.75,AU,1612755522
368,Gizo Government Station,-8.103,156.8419,84.88,76,99,12.35,SB,1612755282
369,Bengkulu,-3.8004,102.2655,85.19,61,42,10.07,ID,1612755526
370,Balyqshy,47.0667,51.8667,5.0,78,0,13.42,KZ,1612755527
371,Bamut,43.1599,45.1973,26.6,93,90,5.79,RU,1612755529
372,Hagi,34.4,131.4167,50.0,66,75,25.32,JP,1612755530
373,Kasane,-17.8167,25.15,68.0,100,75,3.44,BW,1612755425
374,Muros,42.7762,-9.0603,52.0,84,53,5.99,ES,1612755533
375,Caribou,46.8606,-68.012,19.4,86,90,4.61,US,1612755536
376,Peace River,56.2501,-117.286,-32.8,68,20,3.44,CA,1612755417
377,Escanaba,45.7453,-87.0646,-8.0,70,1,4.61,US,1612755540
378,Nabire,-3.3667,135.4833,87.94,60,77,6.55,ID,1612755542
379,Concepción,-36.827,-73.0498,57.2,94,0,2.3,CL,1612755256
380,Valparaíso,-33.0393,-71.6273,57.2,100,1,4.97,CL,1612755546
381,Senanga,-16.1167,23.2667,67.17,96,100,5.1,ZM,1612755549
382,Thinadhoo,0.5333,72.9333,81.52,80,19,12.86,MV,1612755291
383,Oktyabr'skoye,43.0645,44.7417,26.6,100,100,6.71,RU,1612755552
384,Finnsnes,69.2296,17.9811,23.0,86,90,3.44,NO,1612755554
385,Sabang,5.8933,95.3214,82.49,76,1,17.43,ID,1612755556
386,Bereket,39.2446,55.5154,45.25,80,86,1.28,TM,1612755558
387,Road Town,18.4167,-64.6167,78.01,82,28,18.01,VG,1612755341
388,Carbonia,39.1672,8.5222,51.8,82,40,6.91,IT,1612755563
389,Vaitape,-16.5167,-151.75,82.04,76,26,12.5,PF,1612755564
390,Markova,48.6758,24.4138,28.69,98,100,5.32,UA,1612755566
391,Garoowe,8.4054,48.4845,70.09,76,58,11.74,SO,1612755567
392,Kaeo,-35.1,173.7833,72.0,71,75,8.99,NZ,1612755430
393,Makkah al Mukarramah,21.4267,39.8261,68.32,25,0,15.26,SA,1612755571
394,Antofagasta,-23.65,-70.4,64.4,82,0,5.75,CL,1612755572
395,Joshīmath,30.5667,79.5667,61.77,23,0,3.24,IN,1612755574
396,Teluk Nibung,3.001,99.8164,86.16,62,100,3.67,ID,1612755575
397,Fare,-16.7,-151.0167,81.34,76,0,13.33,PF,1612755577
398,Poso,-1.3959,120.7524,91.99,56,27,4.81,ID,1612755446
399,Zyryanka,65.75,150.85,-17.3,86,99,20.38,RU,1612755580
400,Nong Han,17.3608,103.1053,84.0,54,0,11.5,TH,1612755582
401,Hofn,64.2539,-15.2082,37.31,82,100,15.23,IS,1612755585
402,Mackenzie,55.2999,-123.1698,-13.0,77,1,4.74,CA,1612755587
403,Bayangol,50.6977,103.4656,14.27,89,47,2.39,RU,1612755589
404,Barinitas,8.7622,-70.4111,73.29,69,89,4.25,VE,1612755591
405,Inírida,3.8653,-67.9239,74.3,92,100,1.54,CO,1612755593
406,Stege,54.987,12.2846,28.99,87,100,36.55,DK,1612755595
407,Hamilton,39.1834,-84.5333,18.0,48,40,10.36,US,1612755599
408,Maple Creek,49.9168,-109.4848,-22.0,68,26,2.3,CA,1612755601
409,Huarmey,-10.0681,-78.1522,71.51,77,100,7.92,PE,1612755418
410,Pervomayskiy,53.2485,40.2871,-4.07,92,83,7.81,RU,1612755603
411,Oliveira dos Brejinhos,-12.3169,-42.8961,67.3,94,98,1.59,BR,1612755605
412,Fukuechō,32.6881,128.8419,48.2,57,20,17.27,JP,1612755606
413,Santa Rosa,14.3122,121.1114,87.8,55,40,9.22,PH,1612755609
414,Xining,36.6167,101.7667,34.66,45,15,3.11,CN,1612755610
415,Kédougou,12.5579,-12.1743,75.2,35,0,4.61,SN,1612755612
416,Miles City,46.4083,-105.8406,-7.6,64,75,4.92,US,1612755613
417,Bereda,43.2686,-7.5406,48.0,100,78,5.99,ES,1612755614
418,Kuril'sk,45.2333,147.8833,16.23,92,100,19.86,RU,1612755616
419,Swift Current,50.2834,-107.8014,-27.4,75,1,6.91,CA,1612755617
420,Sanming,26.2486,117.6186,75.67,49,37,4.47,CN,1612755618
421,Klyuchi,52.2667,79.1667,27.41,98,100,18.16,RU,1612755620
422,Cairns,-16.9167,145.7667,90.0,74,93,10.36,AU,1612755621
423,Talara,-4.5772,-81.2719,74.79,81,36,12.91,PE,1612755427
424,Gornopravdinsk,60.05,69.9,-2.09,90,100,11.56,RU,1612755625
425,Belmonte,-15.8631,-38.8828,78.8,83,75,8.05,BR,1612755627
426,Gyānpur,25.35,82.4667,55.4,88,0,3.44,IN,1612755629
427,Singaparna,-7.3515,108.111,83.91,64,75,3.27,ID,1612755630
428,Atoyac,20.0167,-103.5333,68.0,28,1,8.05,MX,1612755632
429,Waipawa,-41.4122,175.5153,71.6,64,20,20.71,NZ,1612755634
430,Chino Valley,34.7575,-112.4538,48.0,34,1,5.75,US,1612755636
431,Phan Thiet,10.9333,108.1,85.93,50,11,10.09,VN,1612755568
432,Kargasok,59.0556,80.8572,5.83,92,100,11.1,RU,1612755639
433,Alice Springs,-23.7,133.8833,93.2,16,76,20.71,AU,1612755616
434,Iqaluit,63.7506,-68.5145,32.0,74,90,14.97,CA,1612755626
435,Manokwari,-0.8667,134.0833,83.14,76,68,5.46,ID,1612755647
436,Kanniyākumāri,8.0833,77.5667,78.42,62,17,26.8,IN,1612755648
437,Puerto Asís,0.5133,-76.5007,73.17,94,96,1.7,CO,1612755650
438,Hualmay,-11.0964,-77.6139,71.33,78,100,7.23,PE,1612755642
439,Luebo,-5.35,21.4167,69.94,91,99,0.76,CD,1612755654
440,Grand Gaube,-20.0064,57.6608,82.99,73,2,5.99,MU,1612755358
441,Khovd,48.0056,91.6419,19.51,80,100,1.5,MN,1612755588
442,Roald,62.5833,6.1333,24.8,46,0,12.66,NO,1612755660
443,Hirara,24.8,125.2833,73.4,60,40,13.8,JP,1612755438
444,Mahon,39.8885,4.2658,51.8,82,20,11.5,ES,1612755663
445,Våler,60.6785,11.8331,15.8,73,0,10.36,NO,1612755665
446,Irbeyskoye,55.6428,95.4522,29.86,97,100,7.25,RU,1612755666
447,Guánica,17.9716,-66.908,72.0,84,43,7.96,PR,1612755668
448,Cooma,-36.2333,149.1333,71.6,49,17,11.5,AU,1612755671
449,Viedma,-40.8135,-62.9967,51.01,82,84,8.81,AR,1612755672
450,Lagoa,39.05,-27.9833,57.83,81,4,24.16,PT,1612755574
451,Tura,25.5198,90.2201,75.09,28,0,4.14,IN,1612755605
452,Manaure,11.7751,-72.4445,77.02,73,89,9.89,CO,1612755680
453,Chabahar,25.2919,60.643,66.51,54,24,4.61,IR,1612755681
454,Bontang,0.1333,117.5,83.14,75,64,3.4,ID,1612755400
455,Rocha,-34.4833,-54.3333,61.29,92,51,2.24,UY,1612755684
456,Half Moon Bay,37.4636,-122.4286,57.2,87,1,4.61,US,1612755415
457,Kidal,18.4411,1.4078,64.83,27,99,14.88,ML,1612755637
458,Duekoué,6.7472,-7.3496,75.69,87,85,5.46,CI,1612755690
459,Katherine,-14.4667,132.2667,87.8,66,75,12.66,AU,1612755691
460,Longonjo,-12.9067,15.2533,61.48,80,100,3.65,AO,1612755692
461,Kanaya,34.8167,138.1333,53.6,30,40,23.02,JP,1612755694
462,Laas,46.6166,10.7002,34.0,93,90,8.05,IT,1612755696
463,Karratha,-20.7377,116.8463,85.64,51,0,8.79,AU,1612755698
464,Tabou,4.423,-7.3528,78.19,90,9,5.93,CI,1612755700
465,Santa Marta,11.2408,-74.199,84.2,58,54,11.5,CO,1612755603
466,Puerto Cabezas,14.0351,-83.3888,75.16,88,81,5.66,NI,1612755703
467,Ōfunato,39.0717,141.7167,28.4,69,75,6.91,JP,1612755705
468,Novyy Urgal,51.0736,132.5642,-5.69,85,100,2.51,RU,1612755708
469,Iwanai,42.9744,140.5089,19.96,89,99,18.37,JP,1612755709
470,Yar-Sale,66.8333,70.8333,-8.16,90,100,18.88,RU,1612755439
471,Grado,43.388,-6.0743,50.0,76,75,10.36,ES,1612755714
472,Tomelloso,39.1522,-3.0243,39.0,97,100,11.01,ES,1612755717
473,Umm Hājar,13.2954,19.6966,61.11,27,92,9.78,TD,1612755718
474,Gigmoto,13.7796,124.39,80.73,78,90,16.71,PH,1612755720
475,Lethem,3.3803,-59.7968,78.48,71,76,12.91,GY,1612755722
476,Guadalupe y Calvo,26.1,-106.9667,40.35,68,50,3.67,MX,1612755723
477,Terrace Bay,48.7834,-87.1,-2.2,78,18,3.44,CA,1612755725
478,Spokane,47.6166,-117.3677,32.0,80,90,2.64,US,1612755461
479,Hithadhoo,-0.6,73.0833,81.95,75,21,10.78,MV,1612755563
480,Sisimiut,66.9395,-53.6735,23.76,78,2,19.1,GL,1612755374
481,Jalu,29.0331,21.5482,67.19,24,100,18.66,LY,1612755720
482,Tegul'det,57.3064,88.1667,18.12,94,100,11.45,RU,1612755736
483,Bilma,18.6853,12.9164,58.84,29,100,3.58,NE,1612755688
484,Aiken,33.5835,-81.5998,37.0,100,1,4.76,US,1612755740
485,Lagdo,9.05,13.7333,66.87,25,98,3.06,CM,1612755742
486,Kismayo,-0.3582,42.5454,77.81,79,0,16.69,SO,1612755744
487,Santa Rita do Passa Quatro,-21.7103,-47.4781,59.29,99,0,3.94,BR,1612755746
488,Salalah,17.0151,54.0924,68.0,77,20,3.44,OM,1612755432
489,Ilulissat,69.2167,-51.1,21.2,38,0,25.32,GL,1612755550
490,Pālanpur,24.1667,72.4333,74.23,20,0,5.99,IN,1612755750
491,Sur,22.5667,59.5289,68.45,61,1,0.29,OM,1612755699
492,Walvis Bay,-22.9575,14.5053,63.0,88,98,13.8,NA,1612755755
493,Nicoya,10.1483,-85.452,78.8,61,0,16.11,CR,1612755756
494,Bāfq,31.6128,55.4107,52.2,64,0,1.21,IR,1612755758
495,Comodoro Rivadavia,-45.8667,-67.5,55.4,76,0,3.44,AR,1612755759
496,Oriximiná,-1.7656,-55.8661,77.83,75,68,3.29,BR,1612755760
497,Tucumã,-0.1833,-50.05,76.06,92,93,5.66,BR,1612755744
498,Couëron,47.2151,-1.7217,36.0,75,90,3.44,FR,1612755763
499,Ladysmith,48.9829,-123.8194,37.99,75,75,3.69,CA,1612755765
500,Galle,6.0367,80.217,81.1,78,39,1.14,LK,1612755612
501,Meiningen,50.5679,10.4152,18.0,87,100,5.14,DE,1612755769
502,Samarai,-10.6167,150.6667,85.57,69,86,3.31,PG,1612755771
503,El Copey,10.1503,-73.9614,80.01,78,35,1.36,CO,1612755774
504,Zhangye,38.9342,100.4517,39.38,50,64,4.52,CN,1612755776
505,Kavaratti,10.5669,72.642,81.84,65,98,9.13,IN,1612755752
506,Cedar City,37.6775,-113.0619,39.2,26,1,6.91,US,1612755779
507,Nuuk,64.1835,-51.7216,30.2,40,0,10.36,GL,1612755550
508,Limaong,7.3606,122.3664,87.8,66,75,9.22,PH,1612755783
509,Ekhabi,53.5102,142.9671,19.71,96,100,20.69,RU,1612755785
510,Yerbogachën,61.2767,108.0108,27.52,98,100,9.06,RU,1612755786
511,Lázaro Cárdenas,17.9583,-102.2,72.36,80,0,3.65,MX,1612755791
512,Buala,-8.145,159.5921,85.01,77,85,10.42,SB,1612755792
513,Tuy Hoa,13.0833,109.3,77.09,79,85,10.85,VN,1612755729
514,Balikpapan,-1.2675,116.8289,86.0,74,40,4.61,ID,1612755798
515,Evanston,42.0411,-87.6901,1.4,60,90,4.61,US,1612755671
516,Ossora,59.2353,163.0719,24.75,93,44,12.82,RU,1612755802
517,Flinders,-34.5833,150.8552,73.0,72,52,4.0,AU,1612755804
518,San Quintín,30.4833,-115.95,57.9,83,0,4.68,MX,1612755805
519,Changji,44.0167,87.3167,14.0,85,86,2.24,CN,1612755739
520,Rosita,13.9268,-84.4032,68.7,92,5,1.5,NI,1612755809
521,Najrān,17.4924,44.1277,55.4,54,0,3.98,SA,1612755564
522,Yibin,28.7667,104.6238,65.17,45,100,1.36,CN,1612755812
523,Muroto-misakicho,33.2833,134.15,59.0,26,20,19.57,JP,1612755817
524,Homer,59.6425,-151.5483,26.6,80,1,4.7,US,1612755593
525,Santa Marinella,42.0345,11.8536,53.6,66,40,13.8,IT,1612755820
526,Flagstaff,35.1981,-111.6513,36.0,37,1,6.87,US,1612755708
527,Rochegda,62.8,43.25,-22.5,86,40,5.82,RU,1612755824
528,Isangel,-19.55,169.2667,86.0,74,40,6.91,VU,1612755822
529,Porto-Novo,6.4965,2.6036,79.34,86,57,5.68,BJ,1612755828
530,Mareeba,-17.0,145.4333,90.0,74,97,10.36,AU,1612755761
531,Redcar,54.6166,-1.06,33.01,78,99,5.99,GB,1612755649
532,Rodeo,38.033,-122.2669,57.99,73,59,0.98,US,1612755833
533,Rūdbār,30.15,62.6,62.98,26,43,7.14,AF,1612755837
534,Atbasar,51.8,68.3333,9.77,95,99,14.79,KZ,1612755840
535,Pontes e Lacerda,-15.2261,-59.3353,68.7,69,99,1.19,BR,1612755842
536,Dryden,49.7833,-92.7503,-22.0,63,1,14.97,CA,1612755711
537,Adrar,20.5022,-10.0711,53.85,40,0,10.09,MR,1612755579
538,Bonnyville,54.2668,-110.735,-22.0,63,1,2.3,CA,1612755847
539,Dondo,-19.6094,34.7431,74.26,93,47,3.76,MZ,1612755849
540,Šaľa,48.1513,17.8806,44.01,93,100,5.99,SK,1612755851
541,Tecpan,14.7623,-90.9947,66.2,77,20,16.11,GT,1612755854
542,Nurota,40.5614,65.6886,50.0,71,100,4.61,UZ,1612755627
543,Honningsvåg,70.9821,25.9704,23.0,86,75,31.07,NO,1612755859
544,Province of Mantua,45.1667,10.7833,46.0,97,24,3.0,IT,1612755605
545,Pedro II,-4.4247,-41.4586,68.47,97,13,1.61,BR,1612755862
546,Nizhny Tagil,57.9194,59.965,-13.36,86,100,10.69,RU,1612755784
547,Ahipara,-35.1667,173.1667,72.59,59,72,9.13,NZ,1612755421
548,Baruun-Urt,46.6806,113.2792,5.99,91,5,13.44,MN,1612755867
549,Pouembout,-21.1333,164.9,84.31,63,6,6.02,NC,1612755871
550,Tamandaré,-8.7597,-35.1047,76.78,84,100,5.61,BR,1612755872
551,Ancud,-41.8697,-73.8203,61.0,77,0,5.75,CL,1612755648
552,La Rioja,42.25,-2.5,42.8,87,75,2.3,ES,1612755605
553,Beihai,21.4833,109.1,70.07,75,100,9.28,CN,1612755880
